web_scraper_order,web_scraper_start_url,city,cost_of_living_index,rank,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
"1770902482-146","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Catania, Italy","51.9","146","14.6","35.3","46.7","56.5","112.0"
"1770902482-147","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Malaga, Spain","51.4","147","30.6","42.1","49.4","58.3","84.0"
"1770902482-148","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Santa Cruz de Tenerife, Spain","51.3","148","25.2","39.6","52.6","54.7","93.9"
"1770902482-149","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Budapest, Hungary","51.1","149","20.3","37.3","47.8","50.5","84.9"
"1770902482-150","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Alicante, Spain","50.9","150","22.2","38.1","51.8","53.7","105.0"
"1770902482-151","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Plzen, Czech Republic","50.8","151","15.2","35.0","50.9","42.6","114.7"
"1770902482-152","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Valencia, Spain","50.6","152","28.6","40.8","46.2","58.9","111.6"
"1770902482-153","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Ostrava, Czech Republic","50.5","153","16.8","35.5","50.7","43.6","92.6"
"1770902482-154","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Seville (Sevilla), Spain","49.9","154","21.8","37.4","52.3","50.0","98.8"
"1770902482-155","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Gdansk, Poland","49.7","155","21.6","37.2","42.1","51.8","97.1"
"1770902482-156","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Tirana, Albania","49.5","156","18.3","35.6","49.6","49.7","45.6"
"1770902482-157","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Krakow (Cracow), Poland","49.5","157","22.4","37.4","41.9","50.9","102.8"
"1770902482-158","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Wroclaw, Poland","49.4","158","21.7","37.1","42.3","51.4","92.8"
"1770902482-159","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Porto, Portugal","49.3","159","29.6","40.5","46.5","47.0","68.9"
"1770902482-160","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Las Palmas de Gran Canaria, Spain","49.3","160","22.8","37.5","53.6","47.4","93.8"
"1770902482-161","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Granada, Spain","48.9","161","18.6","35.4","47.1","49.9","108.1"
"1770902482-162","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Pecs, Hungary","48.3","162","13.4","32.7","48.7","44.7","57.4"
"1770902482-163","https://www.numbeo.com/cost-of-living/region_rankings.jsp?title=2026&region=150","Belgrade, Serbia","47.6","163","21.5","36.0","42.0","52.3","65.0"
